codigo,numProy,proyecto,inicio,fin,tipo,nombre
JRH0;CVS0,0000-0136-0036,Diseño e implementación de un Sistema de Espectroscopia de impedancia eléctrica para aplicaciones en Bioingeniería,01/01/2016,31/12/2019,Investigación,Ingeniería en Electrónica
JRH0,5402-1701-1001,Programa de Energías Limpias del Instituto Tecnológico de Costa Rica (PELTEC),01/01/2010,31/12/2012,Investigación,Química
JRH0,0000-0134-1019,Desarrollo de un sistema integrado para la prueba de sistemas de potencian CubeSats,01/01/2022,30/06/2024,Investigación,Ingeniería Electromecánica
JRH0;JMJ0;LCG0,00-0134-1016,Diagnóstico del potencial para la transformación digital de las Asociaciones Administradoras de Acueductos Rurales (ASADAS) en la Región Chorotega,01/01/2022,30/06/2023,Extensión,Ingeniería Electromecánica
JRH0;JMJ0,1341023,Desarrollo de un plan piloto de digitalización en ASADAS: hacia un mejor aprovechamiento del recurso hídrico mediante la incorporación de sistemas IoT,15/05/2023,31/12/2023,Extensión,Ingeniería Electromecánica
JRH0;JMJ0;GGR0,0000-0134-1025,Mantenimiento predictivo: desarrollo de sistemas de diagnóstico y pronóstico,01/01/2024,31/12/2025,Investigación,Ingeniería Electromecánica
JRH0,1341029,Desarrollo de un sistema de monitoreo y alerta para la detección de la exposición al calor en labores agrícolas: Aplicación en la zafra de la caña de azúcar,01/01/2025,31/12/2027,Investigación, Ingeniería Electromecánica
JRH0,1460108,Desarrollo de una plataforma tecnológica escalable y modular para el registro de variables físicas y químicas asociadas a la calidad y abundancia del agua potable,01/01/2025,31/12/2027,Investigación,Química
JRH0;JMJ0,1340030,ASADAS-IoT: Desarrollo y transferencia de una plataforma tecnológica escalable; modular y abierta de para la ASADA de Paso Ancho; Oreamuno; Cartago,01/01/2025,31/12/2026,Extensión,Ingeniería Electromecánica
JRH1,0000-0136-0036,Design and implementation of an Electrical Impedance Spectroscopy System for Bioengineering applications,01/01/2016,31/12/2019,Research,Electronic Engineering
JRH1,5402-1701-1001,Clean Energy Program of the Costa Rica Institute of Technology (PELTEC),01/01/2010,31/12/2012,Research,Chemistry
JRH1,0000-0134-1019,Development of an integrated system for CubeSat power system testing,01/01/2022,30/06/2024,Research,Electromechanical Engineering
JRH1,00-0134-1016,Diagnosis of the potential for digital transformation of Rural Aqueduct Administrative Associations (ASADAS) in the Chorotega Region,01/01/2022,30/06/2023,Extension,Electromechanical Engineering
JRH1,1341023,Development of a pilot digitalization plan in ASADAS: towards better water resource utilization through the incorporation of IoT systems,15/05/2023,31/12/2023,Extension,Electromechanical Engineering
JRH1,0000-0134-1025,Predictive maintenance: development of diagnostic and prognostic systems,01/01/2024,31/12/2025,Research,Electromechanical Engineering
JRH1,1341029,Development of a monitoring and alert system for the detection of heat exposure in agricultural work: Application in sugarcane harvesting,01/01/2025,31/12/2027,Research,Electromechanical Engineering
JRH1,1460108,Development of a scalable and modular technological platform for the registration of physical and chemical variables associated with the quality and abundance of drinking water,01/01/2025,31/12/2027,Research,Chemistry
JRH1,1340030,"ASADAS-IoT: Development and transfer of a scalable, modular, and open technological platform for the ASADA of Paso Ancho, Oreamuno, Cartago",01/01/2025,31/12/2026,Extension,Electromechanical Engineering
